"RabbitMQ event Welcome","rabbit", "2026"
"People are looking curious","rabbit", "2026"
"One person left as soon as Gregory said Hello, my name","rabbit", "2026"
"RabbitMQ Started in Podman","rabbit", "2026"
"People wondering why am I here","rabbit", "2026"
"RabbitMQ Demo started","rabbit", "2026"
"Someone smiled when noticing some of the events","rabbit", "2026"
"Look MOM, I found a typo!!!","rabbit", "2026"
"WHO KNOWS","pre-birth", "1950"
"Maybe someone was thinking about it before the typewriter","rabbit", "1868"
